RealImpedance_mOhm,ImagImpedance_mOhm
1096.0668,108.0816
1093.5103,108.5273
805.4897,114.0158
853.2387,110.9261
898.1044,107.5879
939.9289,106.1779
981.2862,106.0582
1023.7571,106.7591
1063.4679,107.3663
866.1226,109.8175
1135.5268,111.2374
1169.3542,113.8590
1201.4039,115.9593
1230.9908,118.6814
1258.9748,120.8558
1286.4232,123.3361
1312.6094,125.5547
1337.2589,127.5941
1360.3662,129.4399
