RealImpedance_mOhm,ImagImpedance_mOhm
822.8223,107.3944
822.8650,107.5577
595.7635,115.8633
633.0461,113.2123
668.6660,109.6698
701.6198,108.3940
735.0962,107.5331
768.0680,107.1238
799.6048,107.6049
644.0061,112.0779
856.8978,108.8815
884.6047,109.8986
910.6903,110.3117
936.4092,111.1623
961.6615,111.5517
987.1555,112.0427
1012.6536,112.3924
1037.5929,112.6365
1062.2555,112.9277
