RealImpedance_mOhm,ImagImpedance_mOhm
754.7763,117.1077
753.0937,117.4306
555.2258,118.0286
590.4100,115.9179
623.1341,113.1873
652.4778,114.1912
681.0979,114.8646
708.8543,115.0156
733.7814,116.6874
600.8672,115.2489
778.0748,119.2821
799.2515,121.1892
818.7821,122.0298
837.4922,123.6624
855.7328,124.7372
873.6261,125.9573
890.2204,126.8603
906.8172,127.7634
923.4833,128.6743
