RealImpedance_mOhm,ImagImpedance_mOhm
1066.5684,101.4332
1063.2381,101.2260
807.4087,111.1659
846.8129,106.6381
886.3014,104.9573
922.4012,103.6666
957.5981,102.9735
994.4440,102.4521
1028.8944,101.9423
857.8337,107.7183
1093.3407,104.8547
1123.4044,106.4687
1151.8553,107.1996
1179.3758,109.2064
1206.9048,110.4302
1231.7847,111.8615
1256.8582,112.8791
1282.7015,114.0328
1305.8885,114.9661
