RealImpedance_mOhm,ImagImpedance_mOhm
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
849.2672,117.2027
